candidate,model_sha256,session,phase,snapshot,total_pss_kb
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,3,89279
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,4,89265
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,5,89270
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,6,89249
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,7,89269
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,8,89256
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,9,89264
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,10,89252
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,11,89253
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,12,89168
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,13,88072
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,14,88072
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,3,active,15,88072
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,baseline,1,47923
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,baseline,2,45786
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,baseline,3,45784
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,baseline,4,45782
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,baseline,5,45940
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,1,53414
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,2,53246
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,3,53232
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,4,53230
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,3,active,5,53228
